Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
33994,CA-2012-SM20320140-40985,2012-03-17,2012-03-22,Standard Class,SM-203201408,Sean Miller,Home Office,32216.0,Jacksonville,Florida,United States,Southern US,USCA,TEC-MA-3819,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,0.5,-1811.0784000000021,24.286500000000007,Medium
38123,CA-2014-TC20980140-41915,2014-10-03,2014-10-10,Standard Class,TC-209801402,Tamara Chand,Corporate,47905.0,Lafayette,Indiana,United States,Central US,USCA,TEC-CO-3691,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,17499.949999999997,5,0.0,8399.975999999999,349.07,Medium
39450,CA-2015-RB19360140-42087,2015-03-24,2015-03-26,First Class,RB-193601404,Raymond Buch,Consumer,98115.0,Seattle,Washington,United States,Western US,USCA,TEC-CO-3691,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,13999.96,4,0.0,6719.980799999999,20.00054,Medium
33920,CA-2015-TA21385140-42300,2015-10-23,2015-10-25,First Class,TA-213851406,Tom Ashbrook,Home Office,10024.0,New York City,New York,United States,Eastern US,USCA,TEC-CO-3691,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,11199.968,4,0.2,3919.988799999999,45.98,High
35487,CA-2015-HL15040140-42326,2015-11-18,2015-11-23,Standard Class,HL-150401406,Hunter Lopez,Consumer,19711.0,Newark,Delaware,United States,Eastern US,USCA,TEC-CO-3691,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,10499.97,3,0.0,5039.9856,363.19,Medium
40336,CA-2014-AB10105140-41991,2014-12-18,2014-12-22,Standard Class,AB-101051402,Adrian Barton,Consumer,48205.0,Detroit,Michigan,United States,Central US,USCA,OFF-BI-4345,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,13,0.0,4946.37,498.7,Medium
35395,CA-2012-SC20095140-41174,2012-09-22,2012-09-27,Standard Class,SC-200951402,Sanjit Chand,Consumer,55407.0,Minneapolis,Minnesota,United States,Central US,USCA,OFF-BI-4821,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,9449.95,5,0.0,4630.4755000000005,655.61,Medium
35574,US-2014-BS11365140-41746,2014-04-17,2014-04-21,Standard Class,BS-113651406,Bill Shonely,Corporate,8701.0,Lakewood,New Jersey,United States,Eastern US,USCA,TEC-MA-2865,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,7,0.0,2365.9817999999996,516.91,Medium
39785,CA-2014-SE20110140-41672,2014-02-02,2014-02-04,Second Class,SE-201101408,Sanjit Engle,Consumer,22204.0,Arlington,Virginia,United States,Southern US,USCA,TEC-MA-4768,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",8749.95,5,0.0,2799.9839999999995,17.83,Critical
37722,CA-2014-CC12370140-41783,2014-05-24,2014-05-28,Standard Class,CC-123701406,Christopher Conant,Consumer,19120.0,Philadelphia,Pennsylvania,United States,Eastern US,USCA,TEC-CO-3691,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399.975999999999,4,0.4,1119.996799999999,498.08,Medium
